ciclo	tratamento	bloco	produção	Raiz_1	Raiz_2	Raiz_3
3	amendoim_cm	b3	118.22	173.38	104.7	71.1
3	amendoim_pd	b1	94.14	241.09	29.1	22.3
3	amendoim_pd	b2	96.8	261.66	194.9	73.8
3	amendoim_pd	b3	99.45	235.98	88	56.5
3	amendoim_pp	b1	94.34	188.71	63	38.5
3	amendoim_pp	b2	93.06	191.93	96.6	28.5
3	amendoim_pp	b3	100.78	139.21	136.5	51.9
3	crotalária_cm	b1	76.24	266.88	161.3	86.8
3	crotalária_cm	b2	93.24	105.89	103.4	29.7
3	crotalária_cm	b3	93.6	135.59	131.2	10.4
3	crotalária_pd	b1	108.52	112.21	70.6	44.6
3	crotalária_pd	b2	91.52	205.83	153.9	41.6
3	crotalária_pd	b3	100.02	139.93	96.2	22.3
3	crotalária_pp	b1	102.7	395.61	81.4	47.3
3	crotalária_pp	b2	95.44	136.59	78.7	30.9
3	crotalária_pp	b3	109.95	274.9	35.2	61.1
3	milheto_cm	b1	99.7	91.25	45.9	22.8
3	milheto_cm	b2	77.24	102.57	122.5	20.6
3	milheto_cm	b3	108	243.24	121.5	90.8
3	milheto_pd	b1	92.46	192.02	152.2	17.1
3	milheto_pd	b2	89.23	74.21	83.1	14.9
3	milheto_pd	b3	109.18	212.1	118.2	39.7
3	milheto_pp	b1	95.67	185.98	101.8	39.8
3	milheto_pp	b2	94.08	108.43	104.3	75.8
3	milheto_pp	b3	101.07	205.15	121.8	45.7
3	semcobertura_pc	b1	103.57	189.54	137.9	47.4
3	semcobertura_pc	b2	97.01	296.53	206.6	40.6
3	semcobertura_pc	b3	93.87	159.52	251.7	41.2
3	sorgo_cm	b1	95.47	109.73	58.4	64.7
3	sorgo_cm	b2	91.11	86.69	131.8	73.2
3	sorgo_cm	b3	95.36	148.41	62.2	18.2
3	sorgo_pd	b1	95.32	219.51	126.2	40.9
3	sorgo_pd	b2	99.12	139.35	104.1	104.2
3	sorgo_pd	b3	92.23	319.74	149.7	62.7
3	sorgo_pp	b1	92.3	214.27	141.1	53.6
3	sorgo_pp	b2	114.95	119.19	151.5	24.9
3	sorgo_pp	b3	90.23	168.29	149.1	50.2
4	amendoim_cm	b1	73.26	284.36	188.5	75.8
4	amendoim_cm	b2	73.21	123.94	67	48
4	amendoim_cm	b3	69.02	43.21	12.3	37.1
4	amendoim_pd	b1	82.68	76.34	68.5	35.4
4	amendoim_pd	b2	84.02	22.29	28.8	11.8
4	amendoim_pd	b3	85.36	107.33	34.4	12.4
4	amendoim_pp	b1	88.25	541.86	70.1	18.1
4	amendoim_pp	b2	95.2	270.83	201	152.2
4	amendoim_pp	b3	91.51	143.8	148.4	42.9
4	crotalária_cm	b1	88.3	110.94	59.7	12.2
4	crotalária_cm	b2	88.09	106.72	50.1	37
4	crotalária_cm	b3	88.51	132.9	76	3.6
4	crotalária_pd	b1	98.73	171.16	89.1	6.2
4	crotalária_pd	b2	77.97	133.28	119.6	21.3
4	crotalária_pd	b3	76.88	58.47	30.1	105.6
4	crotalária_pp	b1	96.76	129.31	84.4	32.2
4	crotalária_pp	b2	105.11	138.48	82.5	35.9
4	crotalária_pp	b3	100.94	100.3	37.3	46.7
4	milheto_cm	b1	104.21	254.52	168.2	45.3
4	milheto_cm	b2	83	98.22	148.2	36.6
4	milheto_cm	b3	101.63	54.52	69.3	78.4
4	milheto_pd	b1	85.94	104.32	67.6	61
4	milheto_pd	b2	77.94	193.43	124.5	10.9
4	milheto_pd	b3	93.94	49.91	83.8	9.2
4	milheto_pp	b1	97.07	234.47	149.4	44.7
4	milheto_pp	b2	68.74	155.95	88.5	14
4	milheto_pp	b3	82.9	293.78	3.5	8.2
4	semcobertura_pc	b1	75.18	128.45	156.7	17.8
4	semcobertura_pc	b2	72.05	158.76	84.6	13.3
4	semcobertura_pc	b3	78.32	129.57	31.7	7.2
4	sorgo_cm	b1	85.82	82.45	35.7	12.6
4	sorgo_cm	b2	85.76	93.86	68.9	17.3
4	sorgo_cm	b3	85.88	73.1	34.4	31.5
4	sorgo_pd	b1	78.58	154.46	35.8	137.2
4	sorgo_pd	b2	72.68	126.85	71.4	18.5
4	sorgo_pd	b3	84.48	62.29	33.9	14.9
4	sorgo_pp	b1	101.32	361.9	78.7	32.3
