ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
4	crotalária_cm	el	20_30	b3	1.73	1.79	96.48	267	102	631	0.1	0.26	0.36	2.7	0.78	0.35	0.8	0.03	3	14	4.9	1.2	11	7	20	5.99	10.3	0.00	0.00	0.00
4	crotalária_cm	el	30_70	b1	1.58	1.76	90.17	322	107	571	0.08	0.33	0.41	2.69	0.89	0.47	1.58	0.02	1	10	4.5	0.1	10	11.5	25	5.15	33.15	0.04	0.37	2.39
4	crotalária_cm	el	30_70	b2	1.64	1.75	93.55	322	107	571	0.06	0.33	0.39	2.69	1.19	0.42	2.69	0.02	2	11	4.9	0.2	12	12	20	5.52	35.56	0.00	0.00	0.00
4	crotalária_cm	el	30_70	b3	1.68	1.75	96.13	322	107	571	0.06	0.32	0.37	2.69	1.04	0.37	2.67	0.02	2	12	5.4	0.15	12	11	18	5.83	37.53	0.02	0.25	1.59
4	crotalária_cm	l	0_20	b1	1.68	1.83	92.29	224.4	102.8	673	0.07	0.32	0.4	2.69	0.93	0.56	5.74	0.03	3.7	13	4.32	1.57	13.9	8.4	26.2	6.18	13.99	0.47	4.68	0.52
4	crotalária_cm	l	0_20	b2	1.55	1.82	85.34	224.4	102.8	673	0.11	0.32	0.42	2.69	1.04	0.63	7.13	0.04	6	15.8	4.6	1.88	13.6	6.8	24.4	7.13	15.17	0.48	4.79	0.53
4	crotalária_cm	l	0_20	b3	1.82	1.82	99.87	224.4	102.8	673	0.07	0.28	0.34	2.69	1.17	0.51	5.13	0.03	3.4	15.2	5.44	1.26	14.2	10	15.8	6.29	14.18	0.71	7.11	0.74
4	crotalária_cm	l	20_30	b1	1.77	1.8	98.37	267	102	631	0.08	0.38	0.46	2.7	1.08	0.34	3.81	0.02	2	11	4.4	1.15	12	8	25	4.97	7.76	0.38	3.79	0.61
4	crotalária_cm	l	20_30	b2	1.56	1.79	87.43	267	102	631	0.12	0.3	0.42	2.7	0.94	0.58	4.83	0.03	5	14	4.4	1.5	10	5	25	6.93	10.81	0.41	4.12	0.66
4	crotalária_cm	l	20_30	b3	1.83	1.79	102.29	267	102	631	0.03	0.29	0.32	2.7	1.21	0.46	3	0.03	3	14	5.6	0.8	14	11	15	6.09	9.5	0.69	6.90	1.11
4	crotalária_cm	l	30_70	b1	1.63	1.75	93.09	322	107	571	0.07	0.33	0.39	2.69	0.7	0.5	1.45	0.02	1	11	4.4	1.1	13.5	11	22	5.96	40.31	0.39	3.92	2.52
4	crotalária_cm	l	30_70	b2	1.59	1.75	90.85	322	107	571	0.09	0.32	0.41	2.69	0.98	0.53	1.9	0.02	3	11	4.6	0.7	15	9	25	5.81	39.27	0.30	3.00	1.93
4	crotalária_cm	l	30_70	b3	1.72	1.75	98.17	322	107	571	0.07	0.29	0.36	2.69	1.05	0.3	1.18	0.02	3	14	5.4	0.7	12	13	18	5.86	39.6	0.62	6.20	3.99
4	crotalária_pd	el	0_20	b1	1.69	1.83	92.63	224.4	102.8	673	0.07	0.3	0.37	2.69	0.9	0.35	1.8	0.03	3.2	12.2	4.48	0.7	9.2	4.3	23.4	5.89	12.35	0.05	0.52	0.59
4	crotalária_pd	el	0_20	b2	1.72	1.83	93.93	224.4	102.8	673	0.06	0.29	0.35	2.69	0.92	0.32	1.86	0.03	4.6	11.4	4.62	0.84	9.6	4.2	19.2	5.27	12.38	0.05	0.51	0.54
4	crotalária_pd	el	0_20	b3	1.78	1.83	97.29	224.4	102.8	673	0.07	0.27	0.34	2.69	1	0.38	2.02	0.03	2.7	12.2	4.96	0.77	9.8	4.6	20.1	5.07	11.43	0.05	0.50	0.54
4	crotalária_pd	el	20_30	b1	1.71	1.8	95.38	267	102	631	0.04	0.33	0.37	2.7	1.06	0.32	2.33	0.03	2	11	4.4	0.3	8	4.5	25	5.62	9.67	0.04	0.42	0.72
4	crotalária_pd	el	20_30	b2	1.69	1.8	93.43	267	102	631	0.05	0.25	0.3	2.7	1.06	0.25	1.53	0.02	3	9	4.5	0.4	7	4	18	4.23	7.28	0.04	0.36	0.62
4	crotalária_pd	el	20_30	b3	1.77	1.8	98.02	267	102	631	0.07	0.28	0.34	2.7	1.07	0.38	2.53	0.02	1	10	5	0.35	9	5	21.5	4.09	7.04	0.06	0.56	0.97
4	crotalária_pd	el	30_70	b1	1.59	1.76	90.09	322	107	571	0.08	0.33	0.41	2.69	0.51	0.3	1.23	0.02	2	9	4.5	0.2	15	9	22	4.6	29.64	0.04	0.41	2.65
4	crotalária_pd	el	30_70	b2	1.63	1.75	92.84	322	107	571	0.06	0.33	0.39	2.69	0.55	0.27	1.3	0.02	2	10	4.7	0.5	16	9	18	5.59	36.01	0.03	0.29	1.84
4	crotalária_pd	el	30_70	b3	1.72	1.76	97.83	322	107	571	0.06	0.3	0.36	2.69	0.53	0.24	0.76	0.02	2	11	5.4	0.35	14	9	15	4.9	31.58	0.05	0.50	3.18
4	crotalária_pd	l	0_20	b1	1.58	1.83	86.64	224.4	102.8	673	0.09	0.31	0.4	2.69	0.65	0.46	3.41	0.03	4.1	13.9	4.56	1.24	13.2	6.5	24.6	5.76	12.79	0.66	6.57	0.67
4	crotalária_pd	l	0_20	b2	1.71	1.83	93.59	224.4	102.8	673	0.08	0.28	0.36	2.69	0.84	0.35	3.34	0.03	3.6	11.8	4.6	0.71	12.6	5.4	20.8	5.25	12.13	0.44	4.41	0.47
4	crotalária_pd	l	0_20	b3	1.74	1.83	94.99	224.4	102.8	673	0.08	0.29	0.36	2.69	0.85	0.52	3.45	0.03	4	12.4	5.5	1.02	13.8	8.4	15.2	5.71	13	0.76	7.56	0.76
4	crotalária_pd	l	20_30	b1	1.68	1.8	93.19	267	102	631	0.08	0.3	0.38	2.7	0.7	0.43	2.52	0.02	2	14	4.6	0.5	12	7.5	22	5.26	8.21	0.48	4.75	0.76
4	crotalária_pd	l	20_30	b2	1.78	1.8	98.91	267	102	631	0.08	0.27	0.34	2.7	0.89	0.28	3.84	0.02	3	11	4.6	0.7	9	5	20	4.9	7.65	0.31	3.08	0.50
4	crotalária_pd	l	20_30	b3	1.66	1.8	92.48	267	102	631	0.06	0.32	0.38	2.7	1.12	0.57	4.57	0.03	4	11	5.4	0.7	15	10	16	5.63	8.78	0.65	6.47	1.04
4	crotalária_pd	l	30_70	b1	1.62	1.76	92.32	322	107	571	0.1	0.3	0.4	2.69	0.61	0.39	1.73	0.02	2.5	10	4.9	0.8	15.5	9.5	20	5.13	34.71	0.30	3.00	1.93
4	crotalária_pd	l	30_70	b2	1.65	1.76	93.72	322	107	571	0.06	0.33	0.39	2.69	0.92	0.27	1.36	0.02	3	10	4.9	0.75	17	9	18	5.24	35.44	0.48	4.80	3.09
4	crotalária_pd	l	30_70	b3	1.73	1.75	98.79	322	107	571	0.08	0.31	0.39	2.69	0.77	0.57	2.08	0.02	2	10	5.6	0.7	14	10	16	5.5	37.18	0.52	5.20	3.35
4	crotalária_pp	el	0_20	b1	1.76	1.82	96.16	224.4	102.8	673	0.06	0.34	0.39	2.69	1.26	0.53	2.54	0.04	2.6	13.2	4.54	0.98	8.8	7.7	22.8	6.42	13.69	0.06	0.57	0.61
4	crotalária_pp	el	0_20	b2	1.7	1.83	93.19	224.4	102.8	673	0.06	0.3	0.36	2.69	1.51	0.43	1.78	0.03	4.3	12.2	4.47	0.9	9.1	8.6	23	6.22	13.2	0.01	0.10	0.09
4	crotalária_pp	el	0_20	b3	1.73	1.82	95.2	224.4	102.8	673	0.06	0.3	0.37	2.69	1.68	0.51	2.69	0.04	3.8	15.8	5.16	1.52	11.3	11	17.6	7.28	15.33	0.05	0.55	0.63
4	crotalária_pp	el	20_30	b1	1.69	1.79	94.21	267	102	631	0.02	0.35	0.37	2.7	1.23	0.56	1.28	0.03	2	12	4.6	0.5	11	8	22	6.29	10.82	0.05	0.48	0.82
4	crotalária_pp	el	20_30	b2	1.66	1.8	92.64	267	102	631	0.05	0.33	0.38	2.7	1.26	0.29	0.89	0.03	3	11	4.4	0.65	7	10	25	5.65	9.72	0.00	0.00	0.00
4	crotalária_pp	el	20_30	b3	1.69	1.79	94.28	267	102	631	0.06	0.31	0.37	2.7	1.37	0.42	1.38	0.03	2	13	5.1	0.8	13	12	18	6.17	10.6	0.00	0.00	0.00
4	crotalária_pp	el	30_70	b1	1.57	1.76	89.16	322	107	571	0.08	0.33	0.42	2.69	0.86	0.38	2.2	0.02	2	10	4.5	0.4	6	9.5	25	5.16	33.2	0.03	0.32	2.05
4	crotalária_pp	el	30_70	b2	1.6	1.76	90.9	322	107	571	0.07	0.34	0.41	2.69	1.21	0.36	2	0.02	2	10	4.7	0.6	11	7	20	4.93	31.72	0.00	0.00	0.00
4	crotalária_pp	el	30_70	b3	1.77	1.75	100.89	322	107	571	0.03	0.31	0.34	2.69	1.26	0.37	2.87	0.02	2	11	5.2	0.8	14	12	18	5.89	37.93	0.00	0.00	0.00
4	crotalária_pp	l	0_20	b1	1.67	1.82	91.77	224.4	102.8	673	0.08	0.31	0.39	2.69	0.91	0.84	8.91	0.04	2.9	13.2	4.42	1.65	7.8	5.8	22.8	6.61	13.09	0.59	5.92	0.62
4	crotalária_pp	l	0_20	b2	1.64	1.82	90.06	224.4	102.8	673	0.09	0.3	0.39	2.69	1.04	0.75	9.06	0.04	3.2	14.5	4.28	1.66	6.6	3.4	28.4	7.15	14.16	0.71	7.07	0.74
4	crotalária_pp	l	0_20	b3	1.73	1.82	94.98	224.4	102.8	673	0.08	0.29	0.38	2.69	1.14	0.74	8.5	0.04	4.6	15.4	4.9	1.48	7.7	8.4	21.2	7.28	16.06	0.90	9.01	0.91
4	crotalária_pp	l	20_30	b1	1.65	1.79	92.11	267	102	631	0.08	0.31	0.39	2.7	0.92	0.68	4.3	0.03	3.5	12	4.6	0.9	7	7	20	5.96	9.3	0.49	4.94	0.80
4	crotalária_pp	l	20_30	b2	1.76	1.79	98.31	267	102	631	0.07	0.27	0.35	2.7	1.35	0.46	2.37	0.03	3	13	4.2	1.4	5	3	34	6.29	9.81	0.46	4.62	0.74
4	crotalária_pp	l	20_30	b3	1.94	1.79	108.57	267	102	631	0.07	0.3	0.37	2.7	1.35	0.99	3.8	0.03	4	16	5.3	1.1	6	10	15	6.84	10.68	0.50	5.01	0.81
4	crotalária_pp	l	30_70	b1	1.63	1.76	92.68	322	107	571	0.06	0.34	0.39	2.69	1.2	0.36	1.12	0.02	2	9	4.5	0.5	6	5	22	4.76	32.17	0.25	2.51	1.62
4	crotalária_pp	l	30_70	b2	1.61	1.76	91.66	322	107	571	0.06	0.34	0.4	2.69	1.04	0.39	1.01	0.02	2	9	4.4	0.65	5	5	28	5.06	34.23	0.60	5.95	3.83
4	crotalária_pp	l	30_70	b3	1.62	1.75	92.6	322	107	571	0.06	0.34	0.4	2.69	1.35	0.37	1.6	0.03	3	9	5.3	0.8	5.5	14	25	6.45	43.62	0.95	9.53	6.14
4	milheto_cm	el	0_20	b1	1.67	1.83	91.04	224.4	102.8	673	0.08	0.29	0.37	2.69	0.61	0.41	1.75	0.03	3.5	12.2	4.9	0.81	12	4.8	20	5.47	13.22	0.02	0.16	0.13
4	milheto_cm	el	0_20	b2	1.7	1.83	92.74	224.4	102.8	673	0.09	0.28	0.37	2.69	0.89	0.41	2.25	0.03	1.8	11.8	4.84	0.86	12.2	4.6	17.2	5.42	12.7	0.01	0.08	0.07
4	milheto_cm	el	0_20	b3	1.75	1.82	95.8	224.4	102.8	673	0.07	0.3	0.37	2.69	0.9	0.33	1.65	0.04	2.6	15	4.84	0.82	12.2	5.2	18.4	6.49	14.43	0.04	0.39	0.43
4	milheto_cm	el	20_30	b1	1.64	1.79	91.71	267	102	631	0.1	0.29	0.39	2.7	0.41	0.48	1.6	0.03	4	14	4.9	0.6	12	4	20	6.11	10.5	0.03	0.30	0.52
4	milheto_cm	el	20_30	b2	1.64	1.8	90.88	267	102	631	0.11	0.28	0.39	2.7	0.87	0.39	1.83	0.02	1	10	4.6	0.6	13.5	4	16	4.6	7.91	0.00	0.00	0.00
4	milheto_cm	el	20_30	b3	1.75	1.79	97.96	267	102	631	0.06	0.34	0.4	2.7	1.39	0.33	1.32	0.03	2	16	5	0.8	15	7	18	6.89	11.85	0.05	0.54	0.92
4	milheto_cm	el	30_70	b1	1.59	1.75	90.47	322	107	571	0.12	0.29	0.41	2.69	0.71	0.46	3.38	0.02	3	12	4.9	0.2	15	7	20	5.79	37.28	0.05	0.45	2.89
4	milheto_cm	el	30_70	b2	1.59	1.75	90.45	322	107	571	0.09	0.32	0.41	2.69	0.82	0.46	4.97	0.02	1	11	4.8	0.6	13	4	16	5.6	36.04	0.00	0.00	0.00
4	milheto_cm	el	30_70	b3	1.59	1.75	90.59	322	107	571	0.1	0.31	0.41	2.69	0.76	0.39	3.76	0.02	2	17	4.9	0.4	15	7	20	5.69	36.64	0.06	0.64	4.11
4	milheto_cm	l	0_20	b1	1.74	1.83	95.26	224.4	102.8	673	0.07	0.28	0.35	2.69	0.8	0.39	0.6	0.03	3.8	12	5.58	1.15	7.1	6.8	16.4	5.63	12.75	0.83	8.27	0.92
4	milheto_cm	l	0_20	b2	1.75	1.83	95.26	224.4	102.8	673	0.08	0.27	0.35	2.69	1.11	0.33	0.6	0.03	1.8	11.4	4.5	1.28	7.2	3.2	18.8	5.07	12.19	0.50	5.01	0.51
4	milheto_cm	l	0_20	b3	1.66	1.83	91.03	224.4	102.8	673	0.09	0.29	0.38	2.69	1.06	0.36	0.62	0.03	5.4	13.2	4.46	1.18	7	3.6	21.4	6.06	14.19	0.79	7.91	0.82
4	milheto_cm	l	20_30	b1	1.69	1.8	94.07	267	102	631	0.09	0.29	0.37	2.7	0.59	0.35	0.76	0.02	3	12	5.5	1.25	6	5	16	5.26	8.21	0.68	6.75	1.09
4	milheto_cm	l	20_30	b2	1.73	1.8	95.83	267	102	631	0.08	0.28	0.36	2.7	0.79	0.29	0.55	0.02	1	9	4.4	1.1	5	2	18	4.14	6.45	0.33	3.25	0.52
4	milheto_cm	l	20_30	b3	1.72	1.79	95.7	267	102	631	0.06	0.31	0.36	2.7	0.97	0.41	0.67	0.03	9	12	4.4	1.4	7	4	22	5.87	9.16	0.61	6.09	0.98
4	milheto_cm	l	30_70	b1	1.6	1.76	91.16	322	107	571	0.1	0.31	0.41	2.69	0.7	0.43	0.61	0.02	3	10	5.4	0.95	11.5	6	18	5.33	36.02	0.62	6.23	4.01
4	milheto_cm	l	30_70	b2	1.57	1.75	89.72	322	107	571	0.07	0.34	0.41	2.69	0.84	0.3	0.66	0.02	1	11	5	0.8	13	6	18	5.58	37.73	0.58	5.81	3.74
4	milheto_cm	l	30_70	b3	1.48	1.75	84.28	322	107	571	0.12	0.33	0.45	2.69	0.77	0.36	0.5	0.02	8	12	4.5	1.1	10	6	25	6.19	41.84	0.54	5.42	3.49
4	milheto_pd	el	0_20	b1	1.61	1.83	88.02	224.4	102.8	673	0.08	0.31	0.39	2.69	0.53	0.52	2.03	0.03	3.6	12.2	5.06	0.88	11.6	4.6	18.8	5.38	12.58	0.02	0.22	0.18
4	milheto_pd	el	0_20	b2	1.66	1.83	90.85	224.4	102.8	673	0.09	0.29	0.38	2.69	0.67	0.46	1.9	0.03	1.8	12	4.6	0.74	10.8	4	18	5.41	12.49	0.00	0.00	0.00
4	milheto_pd	el	0_20	b3	1.77	1.82	96.78	224.4	102.8	673	0.07	0.33	0.4	2.69	0.9	0.51	2.1	0.04	1.8	13	5.5	0.92	11.4	4.7	15.8	6.34	13.04	0.05	0.47	0.47
4	milheto_pd	el	20_30	b1	1.74	1.8	96.74	267	102	631	0.06	0.3	0.36	2.7	0.61	0.36	0.57	0.02	3	12	5.2	0.65	11	5	18	5.16	8.87	0.00	0.00	0.00
4	milheto_pd	el	20_30	b2	1.68	1.8	93.39	267	102	631	0.08	0.3	0.38	2.7	0.74	0.34	0.56	0.02	1	11	4.3	0.6	8	4	18	5.18	8.91	0.00	0.00	0.00
4	milheto_pd	el	20_30	b3	1.74	1.8	96.79	267	102	631	0.04	0.34	0.38	2.7	0.89	0.62	0.92	0.03	1	11	5.8	0.7	13	4.5	15	5.77	9.92	0.03	0.25	0.00
4	milheto_pd	el	30_70	b1	1.63	1.75	92.69	322	107	571	0.08	0.32	0.4	2.69	0.91	0.42	1.57	0.02	4	11	5.1	0.7	10	5	20	5.45	35.11	0.04	0.44	2.79
4	milheto_pd	el	30_70	b2	1.49	1.76	85.17	322	107	571	0.13	0.31	0.44	2.69	0.76	0.41	2.16	0.02	1	12	4.9	0.5	12	5	18	5.38	34.64	0.00	0.00	0.00
4	milheto_pd	el	30_70	b3	1.59	1.76	90.46	322	107	571	0.12	0.29	0.41	2.69	1.07	0.34	1.92	0.02	1	10	5.6	0.6	8	7	15	4.79	30.87	0.03	0.27	1.75
4	milheto_pd	l	0_20	b1	1.73	1.82	94.61	224.4	102.8	673	0.08	0.28	0.36	2.69	0.79	0.56	1.28	0.04	8.2	13.8	4.7	0.92	11	5.1	23.8	6.73	14.43	0.56	5.56	0.56
4	milheto_pd	l	0_20	b2	1.67	1.83	91.1	224.4	102.8	673	0.08	0.28	0.37	2.69	0.9	0.32	1.18	0.03	2	11	4.84	0.99	8.1	4.4	16.8	5.19	12.92	0.58	5.83	0.61
4	milheto_pd	l	0_20	b3	1.64	1.83	89.7	224.4	102.8	673	0.09	0.32	0.41	2.69	1.02	0.44	1.44	0.03	2.4	12.4	5.16	0.98	9.8	5.6	16.6	6.09	13.12	0.73	7.35	0.79
4	milheto_pd	l	20_30	b1	1.71	1.79	95.14	267	102	631	0.13	0.24	0.37	2.7	0.8	0.64	0.61	0.03	12	13	4.7	0.7	8	5	22	5.86	9.14	0.52	5.17	0.83
4	milheto_pd	l	20_30	b2	1.72	1.8	95.4	267	102	631	0.02	0.34	0.36	2.7	1.09	0.22	0.35	0.02	4	10	4.9	0.7	9	5	16	4.73	7.37	0.66	6.60	1.06
4	milheto_pd	l	20_30	b3	1.58	1.79	88.17	267	102	631	0.09	0.32	0.41	2.7	1.11	0.35	0.51	0.03	1	11	5.1	0.8	10	7	18	5.91	9.21	0.51	5.11	0.82
4	milheto_pd	l	30_70	b1	1.58	1.75	89.9	322	107	571	0.08	0.34	0.41	2.69	1.21	0.43	2.08	0.02	9	12	4.6	0.5	12	5	25	5.73	38.75	0.36	3.61	2.32
4	milheto_pd	l	30_70	b2	1.6	1.75	91.11	322	107	571	0.07	0.33	0.41	2.69	0.97	0.22	1.95	0.02	1	11	5.4	0.8	10.5	8	18	5.99	40.51	0.60	6.03	3.88
4	milheto_pd	l	30_70	b3	1.67	1.76	94.92	322	107	571	0.06	0.32	0.38	2.69	1.46	0.64	2.9	0.02	6	10	5.2	0.9	9	6	15	5.16	34.86	0.44	4.43	2.85
4	milheto_pp	el	0_20	b1	1.83	1.83	99.88	224.4	102.8	673	0.06	0.28	0.34	2.69	0.61	0.4	2.13	0.03	4	12.2	5	0.62	9.8	5.2	17.6	5.64	12.34	0.03	0.26	0.21
4	milheto_pp	el	0_20	b2	1.71	1.83	93.32	224.4	102.8	673	0.08	0.29	0.37	2.69	0.88	0.41	1.6	0.03	2	10.6	4.84	0.74	8.8	5.4	16.4	5.09	11.71	0.01	0.09	0.07
4	milheto_pp	el	0_20	b3	1.87	1.83	101.86	224.4	102.8	673	0.06	0.31	0.37	2.69	0.89	0.48	2.04	0.03	1.8	12.2	5.34	0.68	9.6	5.8	16	5.4	11.04	0.03	0.32	0.38
4	milheto_pp	el	20_30	b1	1.8	1.8	100.29	267	102	631	0.08	0.25	0.33	2.7	0.73	0.44	4	0.02	4	12	5.1	0.4	12	4	16	5.33	9.17	0.00	0.00	0.00
4	milheto_pp	el	20_30	b2	1.61	1.8	89.76	267	102	631	0.09	0.32	0.4	2.7	0.95	0.41	2.36	0.03	3	11	5	0.6	10	7	18	5.7	9.8	0.00	0.00	0.00
4	milheto_pp	el	20_30	b3	1.81	1.8	100.65	267	102	631	0.05	0.35	0.4	2.7	0.84	0.48	3.8	0.02	1	11	5.6	0.5	12	8	15	5.12	8.81	0.03	0.32	0.56
4	milheto_pp	el	30_70	b1	1.77	1.76	100.58	322	107	571	0.05	0.29	0.34	2.69	0.46	0.24	1.1	0.02	4	11	5	0.2	11	4	18	5.02	32.34	0.00	0.00	0.00
4	milheto_pp	el	30_70	b2	1.51	1.76	85.68	322	107	571	0.09	0.31	0.4	2.69	0.94	0.39	1.42	0.02	1	9	4.8	0.9	9	6	18	4.84	31.18	0.00	0.00	0.00
4	milheto_pp	el	30_70	b3	1.71	1.76	96.8	322	107	571	0.04	0.32	0.37	2.69	1.12	0.42	1.93	0.02	2	9	5.7	0.55	9	6	15	4.02	25.91	0.02	0.24	1.53
4	milheto_pp	l	0_20	b1	1.55	1.83	84.66	224.4	102.8	673	0.13	0.29	0.42	2.69	0.6	0.32	1.01	0.03	3.2	11.6	4.62	0.94	8.6	6.2	19.6	5.43	12.99	0.53	5.32	0.55
4	milheto_pp	l	0_20	b2	1.72	1.83	94.16	224.4	102.8	673	0.07	0.28	0.35	2.69	0.82	0.39	1.37	0.03	1.6	11.6	5.18	0.98	11.4	5.6	15	5.24	12.09	0.68	6.81	0.70
4	milheto_pp	l	0_20	b3	1.82	1.83	99.32	224.4	102.8	673	0.07	0.3	0.37	2.69	0.79	0.4	1.44	0.03	1.8	12	5.82	0.95	10.5	7.2	13	5.24	12.36	0.51	5.08	0.52
4	milheto_pp	l	20_30	b1	1.58	1.8	88.21	267	102	631	0.12	0.3	0.41	2.7	0.36	0.31	0.9	0.03	3	12	4.5	0.6	7	9.5	20	5.73	8.94	0.43	4.34	0.70
4	milheto_pp	l	20_30	b2	1.69	1.8	93.82	267	102	631	0.06	0.31	0.38	2.7	0.84	0.33	1.64	0.02	1	11	5.4	0.6	13	9	15	5.3	8.27	0.43	4.25	0.68
4	milheto_pp	l	20_30	b3	1.86	1.8	103.42	267	102	631	0.11	0.37	0.48	2.7	0.6	0.36	1.54	0.03	3	12	6	0.6	10	10	13	5.4	8.43	0.44	4.37	0.70
4	milheto_pp	l	30_70	b1	1.58	1.75	89.87	322	107	571	0.12	0.29	0.41	2.69	1.36	0.34	1.54	0.02	4	12	4.5	0.55	8	6.5	20	5.61	37.91	0.03	0.28	2.09
4	milheto_pp	l	30_70	b2	1.66	1.76	94.79	322	107	571	0.04	0.34	0.38	2.69	1.17	0.47	2.38	0.02	1	10	5	0.6	10	5	18	5.19	35.1	0.05	0.46	3.43
4	milheto_pp	l	30_70	b3	1.69	1.76	96.32	322	107	571	0.04	0.33	0.37	2.69	1.55	0.41	1.81	0.02	1	11	5.5	0.5	11	8	16	5.36	36.21	0.04	0.42	3.14
4	sem cobertura_pc	el	0_20	b1	1.8	1.86	96.55	177.67	101.67	721	0.07	0.26	0.33	2.69	0.95	0.43	1.71	0.04	3.33	14.33	4.27	1	4.67	2.33	25	5.9	7.11	0.03	0.34	0.35
4	sem cobertura_pc	el	0_20	b2	1.77	1.87	94.61	177.67	101.67	721	0.05	0.29	0.34	2.69	1.2	0.42	2.01	0.03	3.33	12.33	4.77	1.07	11.33	5	21.67	5.44	6.4	0.00	0.00	0.00
4	sem cobertura_pc	el	0_20	b3	1.78	1.86	95.85	177.67	101.67	721	0.07	0.29	0.36	2.69	1.25	0.48	2.14	0.04	2	13.33	6.23	0.93	9.67	4	23.33	6.28	7.44	0.04	0.43	0.50
4	sem cobertura_pc	el	20_30	b1	1.75	1.8	97.16	267	102	631	0.09	0.27	0.35	2.7	1.01	0.41	1	0.03	2	13	4.3	0.3	14	8.5	25	5.46	9.54	0.03	0.26	0.45
4	sem cobertura_pc	el	20_30	b2	1.75	1.8	97.67	267	102	631	0.05	0.34	0.39	2.7	1.09	0.58	1.84	0.03	3	12	5	0.4	15	9	20	5.59	9.8	0.00	0.00	0.00
4	sem cobertura_pc	el	20_30	b3	1.65	1.79	92.12	267	102	631	0.05	0.34	0.39	2.7	1.35	0.49	1.74	0.03	3	12	5.6	0.35	14	8	22.5	5.98	9.88	0.03	0.33	0.56
4	sem cobertura_pc	el	30_70	b1	1.55	1.75	88.15	322	107	571	0.08	0.34	0.43	2.69	1.1	0.51	4.5	0.02	2	11	4.1	0.2	14.5	7.5	31	5.63	34.84	0.04	0.41	2.63
4	sem cobertura_pc	el	30_70	b2	1.56	1.76	88.66	322	107	571	0.12	0.3	0.42	2.69	1.05	0.51	4.61	0.02	3	9	5	0.2	13	7	20	4.85	30.22	0.00	0.00	0.00
4	sem cobertura_pc	el	30_70	b3	1.73	1.75	98.59	322	107	571	0.07	0.35	0.42	2.69	1.15	0.41	4.03	0.02	2	11	5.7	0.2	16	8	15	5.52	38.19	0.03	0.25	1.60
4	sem cobertura_pc	l	0_20	b1	1.64	1.82	89.98	224.4	102.8	673	0.09	0.27	0.36	2.69	0.67	0.43	3.42	0.04	4.1	13.6	4.1	1.28	8.9	4.5	30.4	6.35	13.52	0.08	0.77	0.78
4	sem cobertura_pc	l	0_20	b2	1.65	1.82	90.52	224.4	102.8	673	0.08	0.31	0.39	2.69	0.79	0.52	3.43	0.04	6.4	14.4	4.36	1.25	11.2	5.6	26.8	6.68	13.43	0.05	0.45	0.48
4	sem cobertura_pc	l	0_20	b3	1.71	1.82	94.05	224.4	102.8	673	0.06	0.32	0.38	2.69	0.82	0.46	3.78	0.04	2.4	14.8	4.96	1.04	10.4	5.8	17.6	7.01	14.64	0.06	0.61	0.70
4	sem cobertura_pc	l	20_30	b1	1.5	1.8	83.25	267	102	631	0.07	0.25	0.32	2.7	0.87	0.31	0.22	0.02	2	11	4.1	0.5	11.5	6.5	28	5.09	7.63	0.05	0.52	0.95
4	sem cobertura_pc	l	20_30	b2	1.62	1.8	89.81	267	102	631	0.08	0.32	0.4	2.7	0.75	0.37	0.38	0.02	7	11	4.4	0.8	13	6	25	5.16	8.34	0.03	0.28	0.51
4	sem cobertura_pc	l	20_30	b3	1.58	1.79	88.03	267	102	631	0.06	0.35	0.42	2.7	0.98	0.33	0.3	0.03	1	11	5	0.6	10	7	18	6.1	9.63	0.06	0.60	1.10
4	sem cobertura_pc	l	30_70	b1	1.68	1.75	95.9	322	107	571	0.05	0.32	0.37	2.69	0.9	0.36	1.35	0.02	2	12	4.1	0.7	11	4	31	5.55	37.36	0.04	0.39	2.90
4	sem cobertura_pc	l	30_70	b2	1.65	1.76	94.2	322	107	571	0.06	0.32	0.38	2.69	1	0.51	2.3	0.02	3	10	4.7	0.4	11	6	25	5.19	34.37	0.05	0.54	4.00
4	sem cobertura_pc	l	30_70	b3	1.73	1.75	98.64	322	107	571	0.06	0.35	0.41	2.69	1.11	0.34	1.58	0.02	1	11	5.2	0.7	11	7	18	5.58	38.61	0.00	0.00	0.00
4	sorgo_cm	el	0_20	b1	1.73	1.83	94.64	224.4	102.8	673	0.08	0.28	0.36	2.69	0.69	0.46	2.2	0.03	1.4	11.4	4.62	0.9	8.5	4.9	20.2	5.55	13.11	0.02	0.21	0.17
4	sorgo_cm	el	0_20	b2	1.74	1.83	95.3	224.4	102.8	673	0.06	0.31	0.36	2.69	0.9	0.46	2.53	0.03	4.4	12.4	4.94	0.83	12.4	6.9	21.4	6.1	12.9	0.01	0.08	0.14
4	sorgo_cm	el	0_20	b3	1.77	1.83	96.48	224.4	102.8	673	0.05	0.3	0.35	2.69	0.79	0.43	2.08	0.03	2.8	10.7	5.22	0.83	8.9	4.7	20	4.57	10.63	0.00	0.00	0.00
