ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
3	sorgo_pp	el	0_20	b2	1.76	1.83	96.15	224.4	102.8	673	0.08	0.27	0.35	2.69	2.05	0.72	7.41	0.03	3	16.4	4.98	1.04	9	5	20.8	5.79	11.62	0.49	4.88	0.55
3	sorgo_pp	el	0_20	b3	1.81	1.83	98.7	224.4	102.8	673	0.11	0.22	0.33	2.69	2	0.72	6.91	0.03	3	13.3	5.28	1.12	8.8	5	20.4	4.93	9.65	0.54	5.36	0.61
3	sorgo_pp	el	20_30	b1	1.73	1.8	96.03	267	102	631	0.07	0.29	0.36	2.7	0.96	0.71	6.36	0.02	2	13	4.6	0.55	11	5	25	4.92	8.41	0.53	5.34	0.94
3	sorgo_pp	el	20_30	b2	1.57	1.8	87.32	267	102	631	0.14	0.28	0.42	2.7	0.87	0.72	9.54	0.02	2	13	4.8	0.6	9.5	5	22	5.21	8.91	0.45	4.53	0.79
3	sorgo_pp	el	20_30	b3	1.8	1.8	99.53	267	102	631	0.13	0.21	0.33	2.7	1.06	0.7	7.58	0.02	3	11	5.5	0.5	8	5	23.5	4.15	7.09	0.49	4.94	0.86
3	sorgo_pp	el	30_70	b1	1.71	1.76	96.92	322	107	571	0.1	0.27	0.36	2.69	0.99	0.43	6.16	0.01	2	11	4.6	0.8	9	5.5	22	3.7	21.92	0.39	3.94	2.68
3	sorgo_pp	el	30_70	b2	1.62	1.76	91.91	322	107	571	0.08	0.32	0.4	2.69	1.33	0.58	7.9	0.02	2	11	4.8	0.7	8.5	6	22	4.69	27.74	0.36	3.56	2.42
3	sorgo_pp	el	30_70	b3	1.83	1.76	103.79	322	107	571	0.1	0.22	0.32	2.69	1.08	0.72	8.73	0.02	2	9	4.8	0.6	8	5	16	3.87	22.89	0.37	3.75	2.55
3	sorgo_pp	l	0_20	b1	1.6	1.83	87.67	224.4	102.8	673	0.16	0.25	0.41	2.69	0.85	0.8	11.49	0.03	5.3	14.8	4.44	1.17	10.7	6.5	21.4	5.43	11.26	0.07	0.65	0.69
3	sorgo_pp	l	0_20	b2	1.51	1.82	82.89	224.4	102.8	673	0.17	0.27	0.44	2.69	0.97	0.87	11.51	0.04	5.4	17.4	4.62	1.34	12	6.9	25.2	6.43	13.69	0.05	0.52	0.59
3	sorgo_pp	l	0_20	b3	1.63	1.83	88.88	224.4	102.8	673	0.16	0.24	0.4	2.69	0.87	0.72	9.9	0.03	4	14.1	5.54	0.98	10.8	7.3	22	5.41	11.61	0.04	0.38	0.43
3	sorgo_pp	l	20_30	b1	1.72	1.8	95.16	267	102	631	0.1	0.26	0.36	2.7	0.62	0.39	1.5	0.02	2	11	4.2	0.8	10.5	4	22	4.29	7.25	0.04	0.44	0.80
3	sorgo_pp	l	20_30	b2	1.68	1.79	93.63	267	102	631	0.15	0.23	0.38	2.7	0.7	0.4	1.77	0.03	2	13	4.6	1.2	11	5	25	5.95	10.06	0.03	0.27	0.49
3	sorgo_pp	l	20_30	b3	1.65	1.8	91.29	267	102	631	0.17	0.22	0.39	2.7	0.79	0.42	2.47	0.02	2	11	5.6	0.6	10	6	23.5	4.46	7.54	0.02	0.24	0.44
3	sorgo_pp	l	30_70	b1	1.7	1.76	96.28	322	107	571	0.08	0.29	0.37	2.69	1.53	0.65	8.33	0.02	2	10	4.3	0.8	7	3	25	4.26	28.78	0.00	0.00	0.00
3	sorgo_pp	l	30_70	b2	1.56	1.76	88.77	322	107	571	0.1	0.32	0.42	2.69	1.75	0.73	8.21	0.02	2	12	4.8	0.7	7	4	20	5.4	36.53	0.03	0.25	1.88
3	sorgo_pp	l	30_70	b3	1.65	1.76	93.59	322	107	571	0.14	0.24	0.39	2.69	1.3	0.56	5.87	0.02	2	10	4.9	0.6	7	5	16	4.54	30.66	0.00	0.00	0.00
4	amendoim_cm	el	0_20	b1	1.77	1.83	96.66	224.4	102.8	673	0.05	0.31	0.36	2.69	0.85	0.36	0.92	0.03	2.2	12	4.74	0.62	8.4	5.2	17.6	5.81	13.11	0.05	0.48	0.56
4	amendoim_cm	el	0_20	b2	1.78	1.83	97.24	224.4	102.8	673	0.05	0.31	0.37	2.69	1.04	0.28	0.92	0.03	1.8	10.4	5.32	0.82	10.6	5	14.4	4.78	11.37	0.04	0.43	0.48
